정류소번소,정류소명,X좌표,Y좌표,정류소 타입,우편번호,주소
1536,감사원,126.9852901,37.58621065,마을버스,서울특별시 종로구 계동 산 1-17,
1537,중앙중고,126.9869653,37.58309218,마을버스,서울특별시 종로구 계동 2-33,03057
1538,인왕빌딩,126.9577443,37.60792833,마을버스,서울특별시 종로구 구기동 120-1,
1539,종로4가.종묘공원,126.994624,37.570689,마을버스,서울특별시 종로구 종로3가 45-4,03139
1540,국립민속박물관,126.9795534,37.57925518,마을버스,서울특별시 종로구 세종로 1-63,
1541,광화문새마을금고,126.9711466,37.57936877,마을버스,서울특별시 종로구 통인동 137-15,03040
1542,새마을금고,126.9965181,37.58773706,마을버스,서울특별시 종로구 명륜3가 2-1,03071
1543,혜화우체국,127.0006137,37.58603766,마을버스,서울특별시 종로구 혜화동 110-2,03075
1544,언덕앞,126.9637922,37.60895398,마을버스,서울특별시 종로구 평창동 572,
1545,경희궁자이4단지,126.961358,37.57136,마을버스,서울특별시 종로구 교북동 35-7,
1546,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439,마을버스,서울특별시 종로구 숭인동 2-3,
1547,사우디대사관앞.경남빌라,126.9850312,37.58410567,마을버스,서울특별시 종로구 가회동 1-250,
1548,안국선원.삼거리,126.9849941,37.58279098,마을버스,서울특별시 종로구 가회동 1-168,
1549,구기터널입구,126.9567769,37.60820461,마을버스,서울특별시 종로구 구기동 110-22,
1550,종로3가.1.3.5호선,126.991965,37.57158,마을버스,서울특별시 종로구 묘동 20-5,03138
1551,경복궁,126.9793378,37.57695016,마을버스,서울특별시 종로구 세종로 1-58,03045
1553,소나무집,126.9641105,37.61127707,마을버스,서울특별시 종로구 평창동 556-2,
1554,독립문역3번출구,126.9597453,37.57287848,마을버스,서울특별시 종로구 교북동 1-60,
1555,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895,마을버스,서울특별시 종로구 숭인동 23-5,
1556,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973,마을버스,서울특별시 종로구 가회동 30-7,03052
1557,종로1.2.3.4가동주민센터,126.9911314,37.57438371,마을버스,서울특별시 종로구 와룡동 68,03134
1558,창덕궁,126.990385,37.57676,마을버스,서울특별시 종로구 와룡동 117-2,
1561,아름다운실버,126.9654637,37.61201006,마을버스,서울특별시 종로구 평창동 547-6,03006
1562,독립문초등학교,126.9607207,37.57384748,마을버스,서울특별시 종로구 무악동 46-1732,03029
1563,종로센트레빌아파트,127.0156927,37.58035344,마을버스,서울특별시 종로구 숭인동 5-60,
1564,가회동주민센터,126.984957,37.579973,마을버스,서울특별시 종로구 가회동 1-168,
1565,구기빌라,126.9579797,37.60626861,마을버스,서울특별시 종로구 구기동 55-22,
1566,원남로터리,126.9975115,37.57623737,마을버스,서울특별시 종로구 원남동 117-1,03081
1567,보현산신각,126.9657791,37.61348252,마을버스,서울특별시 종로구 평창동 545-1,03006
1568,천사유치원,126.9618604,37.57464802,마을버스,서울특별시 종로구 행촌동 210-203,03029
1569,쌍용아파트입구.창신역,127.0149636,37.58051123,마을버스,서울특별시 종로구 창신동 1-92,
1570,아름다운가게.정독도서관,126.985123,37.57895,마을버스,서울특별시 종로구 재동 38-7,
1571,산정빌라,126.9574922,37.60515199,마을버스,서울특별시 종로구 구기동 266,03012
1572,이화사거리,127.002101,37.576513,마을버스,서울특별시 종로구 연건동 218,
1573,박종화고택입구,126.9676873,37.61431026,마을버스,서울특별시 종로구 평창동 532,
1574,무악현대아파트후문,126.962001,37.57630608,마을버스,서울특별시 종로구 무악동 46-264,03026
1576,헌법재판소.안국역,126.985816,37.577387,마을버스,서울특별시 종로구 재동 62,03059
1577,청구빌라,126.956984,37.60461026,마을버스,서울특별시 종로구 구기동 266-2,
1578,서울대어린이병원응급실.갑상선센터,126.99984,37.578686,마을버스,서울특별시 종로구 연건동 28-21,03080
1580,화인빌라,126.9685386,37.61293453,마을버스,서울특별시 종로구 평창동 530-9,03005
1581,넓은마당,126.962888,37.57527281,마을버스,서울특별시 종로구 행촌동 210-65,03026
1582,창신초등학교,127.0153886,37.5769032,마을버스,서울특별시 종로구 창신동 23-825,
1583,수운회관,126.986671,37.575219,마을버스,서울특별시 종로구 경운동 88-3,
1584,상명대후문,126.9573354,37.60402558,마을버스,서울특별시 종로구 홍지동 7-1,03016
1586,힐탑,126.9690206,37.61160556,마을버스,서울특별시 종로구 평창동 523-106,03005
1587,신학대학교총회본부,126.9634446,37.57397631,마을버스,서울특별시 종로구 행촌동 1-172,
1589,낙원상가,126.987417,37.57376,마을버스,서울특별시 종로구 경운동 42,
1590,완성빌라,126.9575011,37.60340209,마을버스,서울특별시 종로구 홍지동 69-39,03016
1591,서울대병원장례식장,126.997431,37.5805554,마을버스,서울특별시 종로구 연건동 28-33,03080
1592,혜화역1번출구,127.001843,37.583485,마을버스,서울특별시 종로구 혜화동 177,
1593,감나무골공원,126.9699479,37.61240596,마을버스,서울특별시 종로구 평창동 509-1,
1594,한국사회과학자료원,126.9641433,37.57363321,마을버스,서울특별시 종로구 사직동 304-28,03028
1595,동묘역,127.0142454,37.57269435,마을버스,서울특별시 종로구 창신동 204-8,03104
1596,금강제화,126.98756,37.57057,마을버스,서울특별시 종로구 인사동 76,
1597,경진빌라,126.9578304,37.60200372,마을버스,서울특별시 종로구 홍지동 69-58,03015
1598,성균관대학교앞,126.9993359,37.58325978,마을버스,서울특별시 종로구 명륜2가 194-1,03077
1601,청와대,126.973762,37.582971,일반차로,서울특별시 종로구 세종로 1-39,
1602,춘추문,126.979657,37.583126,일반차로,서울특별시 종로구 팔판동 115-42,
1603,경복궁.국립민속박물관,126.97959,37.579407,일반차로,서울특별시 종로구 세종로 1-61,
1604,효자로입구(가상),126.9744334,37.57626474,가상정류장,서울특별시 종로구 세종로 1-57,03045
1607,EN갤러리,126.970607,37.613411,마을버스,서울특별시 종로구 평창동 510,
1615,성균관대정문,126.99662,37.584957,마을버스,서울특별시 종로구 명륜3가 53,03063
1616,600주년기념관,126.993942,37.587329,마을버스,서울특별시 종로구 명륜3가 53-21,03063
1617,성균관대운동장,126.99237,37.587863,마을버스,서울특별시 종로구 명륜3가 53-21,03063
1618,학생회관,126.993738,37.587445,마을버스,서울특별시 종로구 명륜3가 53-21,03063
1667,종로문화센터,126.9646262,37.57464708,마을버스,서울특별시 종로구 사직동 284-1,03028
1682,동대문역.2번출구,127.0117218,37.57204945,마을버스,서울특별시 종로구 창신동 442-1,03119
1683,종각역YMCA,126.985096,37.570379,마을버스,서울특별시 종로구 종로2가 9,03164
1684,서교빌라,126.9571554,37.60198906,마을버스,서울특별시 종로구 홍지동 69-14,
1685,경복궁역,126.9724733,37.57707221,마을버스,서울특별시 종로구 통의동 139,
1697,성대입구,126.998853,37.5832668,마을버스,서울특별시 종로구 명륜2가 195-12,
1698,무애사,126.9718458,37.61390043,마을버스,서울특별시 종로구 평창동 488-1,03004
1699,단군성전앞,126.9653175,37.57556009,마을버스,서울특별시 종로구 사직동 262-27,03028
1702,동대문종합시장,127.00496,37.571212,마을버스,서울특별시 종로구 종로5가 11-2,03126
1714,상명초등학교,126.9567154,37.60092381,마을버스,서울특별시 종로구 홍지동 19-2,
1720,법련사,126.9796651,37.57658798,마을버스,서울특별시 종로구 사간동 122-2,
1721,광화문새마을금고,126.9710277,37.57949309,마을버스,서울특별시 종로구 통인동 133-2,
1722,성균관대학교,126.996857,37.586047,마을버스,서울특별시 종로구 명륜1가 84-1,
1723,참샘골공원,126.974255,37.614612,마을버스,서울특별시 종로구 평창동 475-1,03004
1724,활터앞,126.9653294,37.57681261,마을버스,서울특별시 종로구 사직동 산 1-11,03027
1725,종로5가.3번출구,127.0020898,37.57141925,마을버스,서울특별시 종로구 종로5가 78,03126
1727,인사동들머리.3.1독립선언터,126.983297,37.57194702,마을버스,서울특별시 종로구 공평동 17,03161
