상품명,제조사,칩셋명,가격,판매몰,출시일
MSI 지포스 RTX 4090 게이밍 X 슬림 D6X 24GB 트라이프로져3,MSI,RTX 4090,3075890.0,49,2023-10-01
GIGABYTE 지포스 RTX 4070 Ti EAGLE OC V2 D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1119190.0,203,2023-04-01
GIGABYTE 지포스 RTX 4080 AERO OC D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1789990.0,131,2022-11-01
AFOX 지포스 GTX 1660 SUPER H4 D6 6GB DUAL 디앤디컴,AFOX,GTX 1660 SUPER,236780.0,186,2023-03-01
COLORFUL iGame 지포스 RTX 4070 Ti Neptune OC D6X 12GB,COLORFUL,RTX 4070 Ti,1194970.0,215,2023-01-01
ZOTAC GAMING 지포스 RTX 4070 Ti Trinity OC D6X 12GB White,ZOTAC,RTX 4070 Ti,1194670.0,99,2023-10-01
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER WHITE OC D6X 12GB,갤럭시,RTX 4070 Ti,1217740.0,28,2023-02-01
COLORFUL 지포스 GTX 1650 토마호크 V2 D6 4GB,COLORFUL,GTX 1650,193390.0,36,2023-02-01
GIGABYTE 지포스 RTX 4070 Ti AERO OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1206340.0,80,2023-01-01
GIGABYTE AORUS 지포스 RTX 4070 Ti ELITE D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1274990.0,21,2023-01-01
액슬 지포스 GT1030 D5 2GB 에즈윈,액슬,GT1030,87360.0,154,2023-10-01
MSI 지포스 GT1030 에어로 ITX OC D4 2GB,MSI,GT1030,103780.0,206,2018-04-01
MAXSUN 지포스 RTX 4070 터미네이터 D6X 12GB 스노우화이트,MAXSUN,RTX 4070,829050.0,64,2023-11-01
갤럭시 GALAX 지포스 RTX 3060 V2 D6 12GB,갤럭시,RTX 3060,398000.0,243,2021-06-01
이엠텍 지포스 RTX 4080 GAMEROCK OC D6X 16GB,이엠텍,RTX 4080,1780920.0,15,2022-11-01
