상품명,제조사,칩셋명,가격,판매몰,출시일
GIGABYTE 지포스 RTX 4060 Ti Gaming OC D6 16GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,810370.0,5,2023-08-01
PNY XLR8 지포스 RTX 4080 VERTO EPIC-X RGB TF D6X 16GB 제이씨현,PNY,RTX 4080,1627490.0,45,2022-11-01
ASUS 지포스 GT730 SL D5 2GB,ASUS,GT730,70990.0,23,2021-07-01
COLORFUL iGame 지포스 RTX 3060 Ti Ultra OC D6X 8GB White,COLORFUL,RTX 3060 Ti,594990.0,14,2023-03-01
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER BLACK OC D6X 12GB,갤럭시,RTX 4070 Ti,1219980.0,30,2023-02-01
갤럭시 GALAX 지포스 RTX 3060 EX BLACK OC V2 D6 12GB,갤럭시,RTX 3060,441000.0,46,2021-08-01
이엠텍 지포스 RTX 3070 BLACK EDITION OC D6 8GB LHR,이엠텍,RTX 3070,1188000.0,1,2021-06-01
PNY 지포스 RTX 3060 VERTO D6 8GB Dual 마이크로닉스,PNY,RTX 3060,398290.0,47,2023-03-01
ZOTAC GAMING 지포스 RTX 3070 Ti D6X 8GB,ZOTAC,RTX 3070 Ti,1006300.0,4,2023-01-01
GIGABYTE 지포스 RTX 4070 Ti EAGLE D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1169000.0,21,2023-01-01
갤럭시 BOY 지포스 GT1030 EXOC WHITE D5 2GB LP,갤럭시,GT1030,103290.0,30,2020-07-01
GIGABYTE AORUS 지포스 RTX 4080 Master D6X 16GB 제이씨현,GIGABYTE,RTX 4080,,0,2022-11-01
PNY 지포스 GTX 1650 D6 4GB Single,PNY,GTX 1650,192000.0,32,2021-11-01
GIGABYTE AORUS 지포스 RTX 3080 Ti Master D6X 12GB 피씨디렉트,GIGABYTE,RTX 3080 Ti,2374000.0,2,2021-06-01
리드텍 WinFast 지포스 RTX 4070 AI BLOWER D6X 12GB,리드텍,RTX 4070,1584000.0,1,2023-06-01
갤럭시 GALAX 지포스 RTX 3080 EX GAMER WHITE OC D6X 10GB LHR,갤럭시,RTX 3080,,0,2021-08-01
COLORFUL 지포스 GTX 1660 SUPER 토마호크 V2 D6 6GB,COLORFUL,GTX 1660 SUPER,280660.0,18,2021-08-01
MANLI 지포스 RTX 3060 Rush D6 12GB,MANLI,RTX 3060,375170.0,40,2021-02-01
갤럭시 GALAX 지포스 RTX 3070 EX WHITE OC V3 D6 8GB LHR,갤럭시,RTX 3070,982990.0,4,2021-09-01
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge OC D6 8GB 스파이더맨 : 어크로스 더 유니버스 번들,ZOTAC,RTX 4060 Ti,647000.0,3,2023-05-01
이엠텍 지포스 RTX 4080 GAMINGPRO OC D6X 16GB,이엠텍,RTX 4080,1825990.0,9,2023-02-01
이엠텍 지포스 GTX 1650 STORM X Dual MINI OC D6 4GB,이엠텍,GTX 1650,325800.0,6,2020-04-01
MSI 지포스 GTX 1630 에어로 ITX OC D6 4GB,MSI,GTX 1630,185000.0,10,2022-07-01
ZOTAC 지포스 RTX 4070 Ti AMP AIRO D6X 12GB 스파이더맨 : 어크로스 더 유니버스 번들,ZOTAC,RTX 4070 Ti,1247000.0,12,2023-06-01
ZOTAC GAMING 지포스 RTX 3060 Ti TWIN Edge OC D6X 8GB,ZOTAC,RTX 3060 Ti,684000.0,1,2023-03-01
PNY 지포스 RTX 3050 VERTO D6 8GB Dual 마이크로닉스,PNY,RTX 3050,289000.0,1,2022-09-01
GIGABYTE 지포스 RTX 3060 Gaming OC V2 D6 12GB 제이씨현,GIGABYTE,RTX 3060,487000.0,6,2021-06-01
ASUS DUAL 지포스 GTX 1650 O4G P EVO OC D6 4GB,ASUS,GTX 1650,215060.0,19,2023-10-01
갤럭시 GALAX 지포스 RTX 3060 Ti PLUS EX WHITE OC V2 D6X 8GB,갤럭시,RTX 3060 Ti,615000.0,5,2022-11-01
갤럭시 BOY 지포스 RTX 4090 SG BLACK OC V2 D6X 24GB,갤럭시,RTX 4090,3626340.0,1,2023-07-01
GIGABYTE 지포스 RTX 3070 EAGLE OC V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3070,,0,2021-07-01
GIGABYTE 지포스 RTX 3080 Gaming OC V2 D6X 10GB 피씨디렉트,GIGABYTE,RTX 3080,1648800.0,1,2021-07-01
갤럭시 갤라즈 BOY 지포스 RTX 4070 Ti ST D6X 12GB,갤럭시,RTX 4070 Ti,1160000.0,5,2023-01-01
갤럭시 갤라즈 GALAX 지포스 GTX 1630 D6 4GB LP,갤럭시,GTX 1630,219870.0,5,2022-08-01
GAINWARD 지포스 RTX 4090 팬텀 D6X 24GB,GAINWARD,RTX 4090,3150000.0,4,2022-10-01
MSI 지포스 RTX 3070 Ti 게이밍 X 트리오 D6X 8GB 트라이프로져2,MSI,RTX 3070 Ti,,0,2021-06-01
MSI 지포스 GTX 1650 벤투스 S OC V1 D6 4GB,MSI,GTX 1650,209000.0,12,2020-10-01
ZOTAC GAMING 지포스 GTX 1660 SUPER D6 6GB TWIN,ZOTAC,GTX 1660 SUPER,729000.0,2,2019-11-01
이엠텍 XENON 지포스 RTX 3080 TURBO JET OC D6X 12GB LHR,이엠텍,RTX 3080,2500000.0,2,2022-01-01
ASUS TUF Gaming 지포스 GTX 1660 SUPER 6G D6 6GB,ASUS,GTX 1660 SUPER,300210.0,15,2020-06-01
GIGABYTE 지포스 RTX 4090 WINDFORCE D6X 24GB 제이씨현,GIGABYTE,RTX 4090,3094500.0,3,2022-10-01
이엠텍 지포스 RTX 4080 GAMINGPRO D6X 16GB,이엠텍,RTX 4080,1771000.0,3,2023-02-01
이엠텍 지포스 RTX 3080 BLACK EDITION OC D6X 12GB LHR,이엠텍,RTX 3080,2200000.0,2,2022-01-01
갤럭시 갤라즈 BOY 지포스 RTX 4090 ST V2 D6X 24GB,갤럭시,RTX 4090,3876190.0,2,2022-12-01
갤럭시 GALAX 지포스 RTX 3070 Ti EX BLACK OC D6X 8GB,갤럭시,RTX 3070 Ti,999000.0,3,2021-06-01
GIGABYTE 지포스 RTX 2060 SUPER WINDFORCE OC D6 8GB 제이씨현,GIGABYTE,RTX 2060 SUPER,912170.0,1,2019-07-01
GIGABYTE 지포스 RTX 4090 WINDFORCE V2 D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3016000.0,9,2023-08-01
갤럭시 GALAX 지포스 GTX1050 Ti D5 4GB DUAL,갤럭시,GTX1050 Ti,182750.0,1,2019-07-01
갤럭시 GALAX 지포스 GTX 1660 BLACK D D5 6GB,갤럭시,GTX 1660,439000.0,3,2019-03-01
ASUS TUF Gaming 지포스 RTX 3070 O8G OC D6 8GB,ASUS,RTX 3070,,0,2020-12-01
STCOM 지포스 RTX 3060 Ti D6 8GB,STCOM,RTX 3060 Ti,489000.0,5,2023-09-01
ASUS DUAL 지포스 RTX 3060 O8G OC D6 8GB,ASUS,RTX 3060,391720.0,25,2023-03-01
이엠텍 XENON 지포스 RTX 3070 TURBO JET OC D6 8GB LHR,이엠텍,RTX 3070,1380000.0,4,2021-06-01
GIGABYTE 지포스 RTX 4070 Ti EAGLE OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1185000.0,7,2023-01-01
GIGABYTE 지포스 RTX 3070 Ti Gaming OC D6X 8GB 피씨디렉트,GIGABYTE,RTX 3070 Ti,1435630.0,3,2021-06-01
ASUS TUF Gaming 지포스 GTX 1630 O4G OC D6 4GB,ASUS,GTX 1630,213440.0,24,2022-07-01
GIGABYTE 지포스 RTX 4060 Ti Gaming D6 16GB 제이씨현,GIGABYTE,RTX 4060 Ti,807300.0,4,2023-10-01
MSI 지포스 GTX 1630 벤투스 S OC D6 4GB,MSI,GTX 1630,189000.0,18,2022-07-01
GIGABYTE AORUS 지포스 RTX 3060 Ti ELITE V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3060 Ti,850000.0,5,2021-07-01
이엠텍 지포스 RTX 3090 BLACK EDITION OC D6X 24GB,이엠텍,RTX 3090,,0,2020-09-01
GIGABYTE 지포스 RTX 3050 WINDFORCE OC D6 8GB 제이씨현,GIGABYTE,RTX 3050,349000.0,19,2023-04-01
MSI 지포스 RTX 4070 Ti 게이밍 트리오 D6X 12GB 트라이프로져3,MSI,RTX 4070 Ti,1308130.0,3,2023-01-01
GIGABYTE AORUS 지포스 RTX 3070 Master D6 8GB 제이씨현,GIGABYTE,RTX 3070,2285000.0,4,2020-10-01
ZOTAC GAMING 지포스 RTX 3080 Ti AMP Holo Black D6X 12GB,ZOTAC,RTX 3080 Ti,2980000.0,1,2021-06-01
이엠텍 지포스 RTX 2060 STORM X Dual BASIC D6 12GB,이엠텍,RTX 2060,878750.0,4,2021-12-01
MSI 지포스 GTX 1650 벤투스 S OC D6 4GB,MSI,GTX 1650,198000.0,3,2020-04-01
GIGABYTE 지포스 RTX 3060 Ti Gaming OC V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3060 Ti,739570.0,4,2021-07-01
ZOTAC GAMING 지포스 RTX 2060 AIR D6 6GB,ZOTAC,RTX 2060,2000000.0,1,2019-09-01
갤럭시 갤라즈 GALAX 지포스 GT730 D3 4GB,갤럭시,GT730,81240.0,4,2021-12-01
STCOM 지포스 RTX 2060 SUPER D6 8GB,STCOM,RTX 2060 SUPER,,0,2023-09-01
EVGA 지포스 RTX 3080 FTW3 ULTRA HYBRID GAMING D6X 12GB LHR,EVGA,RTX 3080,1604250.0,1,2022-03-01
ASUS DUAL 지포스 RTX 3060 Ti O8G OC MINI D6 8GB,ASUS,RTX 3060 Ti,628000.0,4,2021-07-01
갤럭시 갤라즈 GALAX 지포스 RTX 3060 Ti PLUS SG OC V2 D6X 8GB,갤럭시,RTX 3060 Ti,754000.0,2,2022-11-01
갤럭시 갤라즈 GALAX 지포스 RTX 3050 D6 8GB,갤럭시,RTX 3050,300000.0,12,2022-01-01
MSI 지포스 GTX 1660 SUPER 게이밍 X D6 6GB 트윈프로져7,MSI,GTX 1660 SUPER,1500000.0,1,2019-10-01
이엠텍 지포스 RTX 4070 GAMINGPRO D6X 12GB 나이트 크로우 Special Edition,이엠텍,RTX 4070,1041010.0,1,2023-04-01
GIGABYTE 지포스 RTX 3050 Gaming OC D6 8GB 제이씨현,GIGABYTE,RTX 3050,446600.0,9,2022-01-01
GIGABYTE 지포스 RTX 3060 Ti EAGLE OC V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3060 Ti,642900.0,8,2021-06-01
갤럭시 갤라즈 GALAX 지포스 RTX 4070 Ti ST D6X 12GB,갤럭시,RTX 4070 Ti,1280390.0,5,2023-01-01
ASUS PH 지포스 GTX 1630 D6 4GB,ASUS,GTX 1630,209000.0,16,2022-07-01
ZOTAC GAMING 지포스 RTX 3070 TWIN Edge OC D6 8GB LHR,ZOTAC,RTX 3070,1070000.0,1,2021-07-01
ASUS DUAL 지포스 RTX 3050 O8G OC D6 8GB,ASUS,RTX 3050,379990.0,5,2022-01-01
갤럭시 GALAX 지포스 GTX 1660 SUPER EX WHITE OC D6 6GB,갤럭시,GTX 1660 SUPER,847000.0,2,2019-10-01
MSI 지포스 RTX 4070 게이밍 트리오 D6X 12GB 트라이프로져3,MSI,RTX 4070,909000.0,1,2023-05-01
COLORFUL 지포스 GT1030 REVENGE V5 D5 2GB,COLORFUL,GT1030,110000.0,7,2021-10-01
갤럭시 GALAX 지포스 RTX 3060 Ti EX WHITE OC D6 8GB LHR,갤럭시,RTX 3060 Ti,,0,2021-07-01
COLORFUL 지포스 RTX 3060 토마호크 D6 12GB LHR,COLORFUL,RTX 3060,2500000.0,3,2021-07-01
GAINWARD 지포스 RTX 3060 Ti 고스트 OC V1 D6 8GB LHR,GAINWARD,RTX 3060 Ti,744000.0,2,2022-02-01
이엠텍 지포스 RTX 3050 STORM X Dual OC D6 8GB,이엠텍,RTX 3050,650000.0,2,2022-01-01
ASUS ROG STRIX 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,ASUS,RTX 3060 Ti,2000000.0,2,2020-12-01
GIGABYTE AORUS 지포스 RTX 3090 Master D6X 24GB 피씨디렉트,GIGABYTE,RTX 3090,4500000.0,1,2020-10-01
ASUS TUF Gaming 지포스 RTX 3060 O12G OC D6 12GB,ASUS,RTX 3060,891670.0,4,2021-02-01
GIGABYTE AORUS 지포스 RTX 4090 Xtreme 워터포스 D6X 24GB 제이씨현,GIGABYTE,RTX 4090,,0,2022-10-01
갤럭시 GALAX 지포스 RTX 3070 EX GAMER WHITE OC D6 8GB LHR,갤럭시,RTX 3070,2500000.0,1,2021-08-01
GIGABYTE 지포스 RTX 3060 VISION OC V2 D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,626400.0,5,2021-06-01
ZOTAC GAMING 지포스 GTX 1650 OC D6 4GB,ZOTAC,GTX 1650,464290.0,4,2020-04-01
GIGABYTE 지포스 RTX 3070 Gaming OC V2 D6 8GB 제이씨현,GIGABYTE,RTX 3070,947670.0,1,2021-07-01
GIGABYTE 지포스 RTX 3060 Ti Gaming OC PRO V3 D6 8GB 제이씨현,GIGABYTE,RTX 3060 Ti,,0,2021-06-01
GIGABYTE 지포스 RTX 3070 Ti VISION OC D6X 8GB 피씨디렉트,GIGABYTE,RTX 3070 Ti,1907990.0,6,2021-06-01
COLORFUL 지포스 RTX 3060 Ti 토마호크 DUO D6X 8GB,COLORFUL,RTX 3060 Ti,598990.0,9,2023-01-01
GAINWARD 지포스 RTX 4070 Ti 피닉스 D6X 12GB,GAINWARD,RTX 4070 Ti,1213870.0,4,2023-01-01
GIGABYTE AORUS 지포스 RTX 3080 Master D6X 12GB 피씨디렉트,GIGABYTE,RTX 3080,1971000.0,1,2022-01-01
갤럭시 BOY 지포스 RTX 4070 Ti EX GAMER OC D6X 12GB,갤럭시,RTX 4070 Ti,1249000.0,11,2023-04-01
ZOTAC GAMING 지포스 GTX 1630 D6 4GB,ZOTAC,GTX 1630,246840.0,3,2022-06-01
COLORFUL 지포스 RTX 2060 SUPER 토마호크 D6 8GB,COLORFUL,RTX 2060 SUPER,929000.0,1,2021-12-01
이엠텍 지포스 RTX 2060 STORM X Dual BASIC OC D6 6GB,이엠텍,RTX 2060,952380.0,2,2021-05-01
GAINWARD 지포스 RTX 4080 팬텀 D6X 16GB,GAINWARD,RTX 4080,1880000.0,6,2022-11-01
MSI 지포스 RTX 3050 게이밍 X D6 8GB 트윈프로져8,MSI,RTX 3050,394000.0,2,2022-01-01
GIGABYTE 지포스 RTX 3060 Ti Gaming OC V2 D6 8GB 제이씨현,GIGABYTE,RTX 3060 Ti,800000.0,1,2021-07-01
COLORFUL 지포스 RTX 3070 Ti 토마호크 D6X 8GB,COLORFUL,RTX 3070 Ti,1332900.0,4,2021-07-01
갤럭시 GALAX 지포스 RTX 3070 D6 8GB LHR,갤럭시,RTX 3070,962990.0,3,2021-06-01
ASUS TUF Gaming 지포스 RTX 3060 Ti O8G OC D6 8GB,ASUS,RTX 3060 Ti,2500000.0,2,2020-12-01
ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,ASUS,RTX 3060 Ti,1349990.0,2,2020-12-01
ASUS KO 지포스 RTX 3070 O8G GAMING OC D6 8GB,ASUS,RTX 3070,1300000.0,3,2020-10-01
ZOTAC GAMING 지포스 RTX 3070 Ti Trinity OC D6X 8GB,ZOTAC,RTX 3070 Ti,1623000.0,2,2021-07-01
갤럭시 갤라즈 BOY 지포스 GT730 D3 4GB,갤럭시,GT730,91440.0,1,2021-12-01
GIGABYTE AORUS 지포스 RTX 3080 Xtreme 워터블럭 V2 D6X 10GB 피씨디렉트,GIGABYTE,RTX 3080,1544410.0,1,2021-08-01
GAINWARD 지포스 RTX 3060 Ti 고스트 V1 D6 8GB LHR,GAINWARD,RTX 3060 Ti,560940.0,1,2021-07-01
ASUS PH 지포스 GTX 1660 O6G D5 6GB,ASUS,GTX 1660,563000.0,1,2019-03-01
갤럭시 갤라즈 BOY 지포스 RTX 3070 D6 8GB LHR,갤럭시,RTX 3070,815850.0,5,2022-07-01
ASUS ROG STRIX 지포스 RTX 3050 O8G GAMING OC D6 8GB,ASUS,RTX 3050,460000.0,7,2022-02-01
COLORFUL iGame 지포스 RTX 3060 Ti Ultra OC D6 8GB White LHR,COLORFUL,RTX 3060 Ti,731000.0,5,2021-10-01
이엠텍 XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,이엠텍,GTX1050 Ti,325000.0,2,2016-11-01
GIGABYTE 지포스 GT730 UD2 D5 2GB 블랙펄 제이씨현,GIGABYTE,GT730,92000.0,1,2015-03-01
ZOTAC GAMING 지포스 RTX 3060 Ti TWIN Edge D6X 8GB White,ZOTAC,RTX 3060 Ti,697000.0,2,2023-01-01
갤럭시 갤라즈 GALAX 지포스 RTX 3060 Ti PLUS V2 D6X 8GB,갤럭시,RTX 3060 Ti,629990.0,2,2022-11-01
PNY 지포스 RTX 3070 UPRISING D6 8GB Dual LHR 마이크로닉스,PNY,RTX 3070,778700.0,6,2021-09-01
GAINWARD 지포스 RTX 3050 고스트 D6 8GB,GAINWARD,RTX 3050,560000.0,6,2022-01-01
갤럭시 갤라즈 GALAX 지포스 RTX 3080 SG OC D6X 12GB LHR,갤럭시,RTX 3080,1448000.0,3,2022-01-01
COLORFUL iGame 지포스 RTX 3070 Ultra OC D6 8GB White LHR,COLORFUL,RTX 3070,1199840.0,3,2021-08-01
ZOTAC GAMING 지포스 RTX 3080 Trinity OC D6X 10GB White LHR,ZOTAC,RTX 3080,2770000.0,3,2021-10-01
갤럭시 GALAX 지포스 RTX 3070 EX GAMER BLACK OC D6 8GB LHR,갤럭시,RTX 3070,1690000.0,1,2021-09-01
갤럭시 GALAX 지포스 RTX 3060 Ti EX BLACK OC D6 8GB LHR,갤럭시,RTX 3060 Ti,713000.0,3,2021-08-01
갤럭시 GALAX 지포스 RTX 2060 PLUS OC D6 6GB,갤럭시,RTX 2060,519000.0,1,2020-11-01
ASUS CERBERUS 지포스 GTX1050 Ti O4G D5 4GB,ASUS,GTX1050 Ti,370000.0,3,2019-09-01
MSI 지포스 RTX 3070 벤투스 2X OC D6 8GB LHR,MSI,RTX 3070,891380.0,1,2021-07-01
GIGABYTE 지포스 RTX 2060 UDV OC D6 6GB 제이씨현,GIGABYTE,RTX 2060,630000.0,1,2019-01-01
PNY XLR8 지포스 RTX 4080 VERTO EPIC-X RGB TF D6X 16GB 마이크로닉스,PNY,RTX 4080,1663570.0,12,2022-11-01
GIGABYTE AORUS 지포스 RTX 3080 Ti Xtreme 워터포스 D6X 12GB 제이씨현,GIGABYTE,RTX 3080 Ti,2758460.0,3,2021-07-01
COLORFUL 지포스 RTX 3080 Ti 토마호크 D6X 12GB,COLORFUL,RTX 3080 Ti,1527000.0,1,2021-07-01
NVIDIA 쿼드로 P1000 MDP to DVI D5 4GB ABKO,NVIDIA,P1000,1400000.0,1,2017-06-01
EVGA 지포스 RTX 3060 Ti XC GAMING D6 8GB LHR,EVGA,RTX 3060 Ti,851000.0,3,2021-08-01
GIGABYTE 지포스 RTX 3060 EAGLE OC V2 D6 12GB 제이씨현,GIGABYTE,RTX 3060,436860.0,5,2021-06-01
갤럭시 GALAX 지포스 GT710 D3 1GB LP,갤럭시,GT710,48100.0,3,2016-02-01
COLORFUL 지포스 RTX 3070 토마호크 V2 D6 8GB LHR,COLORFUL,RTX 3070,861000.0,2,2021-10-01
ASUS DUAL 지포스 RTX 2060 EVO D6 6GB,ASUS,RTX 2060,520990.0,5,2021-03-01
GAINWARD 지포스 GTX 1660 SUPER 고스트 V1 D6 6GB 백플레이트,GAINWARD,GTX 1660 SUPER,940000.0,1,2021-03-01
ASUS DUAL 지포스 GTX 1650 P EVO D6 4GB,ASUS,GTX 1650,226360.0,2,2023-10-01
리드텍 WinFast 지포스 RTX 3070 Ti HURRICANE D6X 8GB,리드텍,RTX 3070 Ti,805600.0,4,2022-01-01
MANLI 지포스 RTX 3070 Gallardo D6 8GB LHR,MANLI,RTX 3070,1519990.0,4,2021-11-01
GIGABYTE AORUS 지포스 RTX 3080 Master V2 D6X 10GB 피씨디렉트,GIGABYTE,RTX 3080,3000000.0,2,2021-05-01
MSI 지포스 RTX 3060 Ti 게이밍 X 트리오 D6 8GB 트라이프로져2,MSI,RTX 3060 Ti,1505810.0,2,2020-12-01
MANLI 지포스 RTX 2060 SUPER Gallardo OC V2 D6 8GB,MANLI,RTX 2060 SUPER,1489990.0,5,2021-12-01
ASUS KO 지포스 RTX 3070 GAMING D6 8GB,ASUS,RTX 3070,790000.0,1,2020-10-01
갤럭시 GALAX 지포스 RTX 3070 EX WHITE OC D6 8GB,갤럭시,RTX 3070,1667000.0,1,2020-10-01
PNY XLR8 지포스 GTX 1660 SUPER OC D6 6GB 제이씨현,PNY,GTX 1660 SUPER,414215.0,8,2020-10-01
GIGABYTE 지포스 RTX 3090 EAGLE OC D6X 24GB 피씨디렉트,GIGABYTE,RTX 3090,3199800.0,1,2020-09-01
MANLI 지포스 GTX1050 Ti Black Frame Mini D5 4GB,MANLI,GTX1050 Ti,306920.0,1,2016-10-01
GAINWARD 지포스 GTX 1650 페가수스 D5 4GB,GAINWARD,GTX 1650,249230.0,5,2022-08-01
PNY 지포스 RTX 3050 UPRISING D6 8GB Dual 마이크로닉스,PNY,RTX 3050,439000.0,3,2022-02-01
COLORFUL iGame 지포스 RTX 3060 Advanced OC D6 12GB LHR,COLORFUL,RTX 3060,718990.0,5,2021-07-01
GAINWARD 지포스 RTX 3070 피닉스 V1 D6 8GB LHR,GAINWARD,RTX 3070,1088000.0,3,2021-07-01
GIGABYTE 지포스 GTX 1660 SUPER UDV OC D6 6GB 피씨디렉트,GIGABYTE,GTX 1660 SUPER,452410.0,3,2020-09-01
COLORFUL iGame 지포스 RTX 3090 Advanced OC D6X 24GB,COLORFUL,RTX 3090,2999990.0,1,2020-09-01
GIGABYTE AORUS 지포스 RTX 4080 Xtreme 워터포스 D6X 16GB 제이씨현,GIGABYTE,RTX 4080,2293200.0,1,2022-11-01
GIGABYTE 지포스 GTX 1630 UD2 OC D6 4GB 피씨디렉트,GIGABYTE,GTX 1630,219000.0,3,2022-06-01
MSI 지포스 RTX 3050 벤투스 2X OC D6 8GB,MSI,RTX 3050,369000.0,4,2022-02-01
COLORFUL 지포스 RTX 3060 Ti 토마호크 DUO V2 D6 8GB LHR,COLORFUL,RTX 3060 Ti,649900.0,7,2021-10-01
PNY 지포스 RTX 4070 Ti VERTO D6X 12GB Triple 제이씨현,PNY,RTX 4070 Ti,1294970.0,4,2023-01-01
GIGABYTE AORUS 지포스 RTX 3070 Master D6 8GB 피씨디렉트,GIGABYTE,RTX 3070,3375000.0,2,2020-10-01
MSI 지포스 RTX 3050 벤투스 2X J OC D6 8GB,MSI,RTX 3050,321500.0,6,2023-08-01
MSI 지포스 RTX 3050 벤투스 2X OC V1 D6 8GB,MSI,RTX 3050,369000.0,2,2023-03-01
COLORFUL 지포스 RTX 3050 토마호크 DUO D6 8GB,COLORFUL,RTX 3050,315000.0,5,2022-01-01
MANLI 지포스 RTX 3070 Ti Rush D6X 8GB LHR,MANLI,RTX 3070 Ti,1369000.0,6,2021-11-01
ASUS TUF Gaming 지포스 GTX 1650 O4G D6 4GB,ASUS,GTX 1650,246000.0,4,2021-07-01
GIGABYTE 지포스 RTX 3060 Ti EAGLE V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3060 Ti,1466990.0,8,2021-06-01
GIGABYTE 지포스 RTX 3060 Gaming OC V2 D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,565000.0,3,2021-06-01
GIGABYTE 지포스 GTX 1660 Ti UDV OC D6 6GB 피씨디렉트,GIGABYTE,GTX 1660 Ti,455000.0,2,2020-10-01
갤럭시 GALAX 지포스 GTX 1650 SUPER EX BLACK OC D6 4GB,갤럭시,GTX 1650 SUPER,440000.0,1,2019-11-01
PNY 지포스 RTX 4070 VERTO D6X 12GB Dual 마이크로닉스,PNY,RTX 4070,904800.0,5,2023-04-01
갤럭시 갤라즈 GALAX 지포스 RTX 3060 Ti PLUS EX WHITE OC D6X 8GB,갤럭시,RTX 3060 Ti,615000.0,1,2022-11-01
GIGABYTE 지포스 RTX 3050 Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RTX 3050,484000.0,6,2022-01-01
GIGABYTE 지포스 RTX 3050 EAGLE OC D6 8GB 제이씨현,GIGABYTE,RTX 3050,550000.0,3,2022-01-01
갤럭시 GALAX 지포스 RTX 3080 EX GAMER BLACK OC D6X 10GB LHR,갤럭시,RTX 3080,2652550.0,1,2021-08-01
GAINWARD 지포스 RTX 2060 SUPER 고스트 V1 D6 8GB,GAINWARD,RTX 2060 SUPER,646000.0,2,2021-05-01
리드텍 WinFast 지포스 RTX 3060 Ti HURRICANE D6 8GB,리드텍,RTX 3060 Ti,563200.0,1,2020-12-01
GIGABYTE 지포스 RTX 3090 VISION OC D6X 24GB 피씨디렉트,GIGABYTE,RTX 3090,5000000.0,1,2020-10-01
리드텍 WinFast 지포스 RTX 4090 HURRICANE D6X 24GB,리드텍,RTX 4090,3110000.0,2,2022-11-01
이엠텍 지포스 GTX 1630 STORM X Dual MINI D6 4GB,이엠텍,GTX 1630,,0,2022-07-01
GIGABYTE 지포스 RTX 3060 Ti VISION OC V2 D6 8GB 제이씨현,GIGABYTE,RTX 3060 Ti,900000.0,2,2021-06-01
MSI 지포스 GTX 1650 게이밍 X 플러스 D6 4GB 트윈프로져7,MSI,GTX 1650,229000.0,1,2021-05-01
ZOTAC GAMING 지포스 RTX 3090 Trinity D6X 24GB,ZOTAC,RTX 3090,4450000.0,2,2020-09-01
갤럭시 BOY 지포스 GTX 1660 SUPER OC D6 6GB,갤럭시,GTX 1660 SUPER,333240.0,4,2019-10-01
이엠텍 XENON 지포스 GT1030 D4 2GB,이엠텍,GT1030,154760.0,3,2018-09-01
MANLI 지포스 RTX 4080 Gallardo OC D6X 16GB,MANLI,RTX 4080,,0,2023-02-01
GIGABYTE 지포스 RTX 4080 EAGLE D6X 16GB 제이씨현,GIGABYTE,RTX 4080,2343000.0,2,2022-11-01
갤럭시 갤라즈 BOY 지포스 RTX 3060 Ti D6 8GB LHR,갤럭시,RTX 3060 Ti,546000.0,2,2022-07-01
ASUS DUAL 지포스 RTX 3050 D6 8GB,ASUS,RTX 3050,554400.0,2,2022-02-01
ASUS DUAL 지포스 GTX 1650 O4G OC MINI D6 4GB,ASUS,GTX 1650,1500000.0,4,2021-10-01
GIGABYTE 지포스 RTX 3060 EAGLE V2 D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,589000.0,4,2021-06-01
GIGABYTE AORUS 지포스 RTX 3060 ELITE V2 D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,1021830.0,4,2021-06-01
갤럭시 GALAX 지포스 GTX 1660 Ti BLACK D D6 6GB,갤럭시,GTX 1660 Ti,904760.0,1,2019-02-01
PNY XLR8 지포스 RTX 4090 VERTO EPIC-X RGB TF OC D6X 24GB 마이크로닉스,PNY,RTX 4090,,0,2022-10-01
ASUS TUF Gaming 지포스 RTX 4090 D6X 24GB,ASUS,RTX 4090,,0,2022-10-01
COLORFUL iGame 지포스 RTX 3060 Ti Advanced OC D6 8GB LHR,COLORFUL,RTX 3060 Ti,1125580.0,1,2021-12-01
GIGABYTE 지포스 GTX 1660 SUPER UDV OC D6 6GB 제이씨현,GIGABYTE,GTX 1660 SUPER,1500000.0,1,2019-10-01
GIGABYTE 지포스 RTX 3060 Ti Gaming OC PRO V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3060 Ti,1503040.0,5,2021-04-01
