상품명,제조사,칩셋명,가격,판매몰,출시일
ASRock 라데온 RX 7900 XT D6 20GB 에즈윈,ASRock,RX 7900 XT,1356140.0,7,2022-12-01
GIGABYTE 라데온 RX 7900 XT D6 20GB 제이씨현,GIGABYTE,RX 7900 XT,1347510.0,2,2022-12-01
XFX 라데온 RX 6700 XT QICK 319 BLACK D6 12GB,XFX,RX 6700 XT,852330.0,6,2021-04-01
ASUS TUF Gaming 라데온 RX 7900 XT O20G OC D6 20GB 대원씨티에스,ASUS,RX 7900 XT,1350000.0,1,2022-12-01
SAPPHIRE 라데온 RX 6800 XT PULSE OC D6 16GB Tri-X,SAPPHIRE,RX 6800 XT,1197110.0,5,2021-05-01
MSI 라데온 RX 6800 게이밍 X 트리오 D6 16GB 트라이프로져2,MSI,RX 6800,899000.0,3,2020-12-01
ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원씨티에스,ASUS,RX 6700 XT,1659000.0,2,2021-03-01
ASUS DUAL 라데온 RX 6600 D6 8GB,ASUS,RX 6600,318310.0,12,2021-10-01
GIGABYTE 라데온 RX 7700 XT Gaming OC D6 12GB 피씨디렉트,GIGABYTE,RX 7700 XT,660250.0,3,2023-09-01
GIGABYTE 라데온 RX 7900 XTX D6 24GB 제이씨현,GIGABYTE,RX 7900 XTX,1988000.0,3,2022-12-01
SAPPHIRE 라데온 RX 6600 XT PULSE OC D6 8GB Dual-X,SAPPHIRE,RX 6600 XT,849900.0,1,2021-08-01
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 에즈윈,ASRock,RX 6600,286890.0,10,2021-10-01
GIGABYTE 라데온 RX 6800 XT Gaming OC D6 16GB 피씨디렉트,GIGABYTE,RX 6800 XT,1410000.0,12,2020-12-01
XFX 라데온 RX 6800 QICK 319 CORE D6 16GB,XFX,RX 6800,675000.0,1,2023-10-01
GIGABYTE 라데온 RX 6600 EAGLE D6 8GB 피씨디렉트,GIGABYTE,RX 6600,338950.0,5,2021-10-01
PowerColor 라데온 RX 6700 XT Red Devil D6 12GB,PowerColor,RX 6700 XT,1252790.0,3,2021-03-01
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 디앤디컴,ASRock,RX 6600,273790.0,5,2021-10-01
AMD 라데온 PRO W6600 D6 8GB 대원씨티에스,AMD,W6600,734060.0,131,2021-08-01
MSI 라데온 RX 6600 XT 게이밍 X D6 8GB 트윈프로져8,MSI,RX 6600 XT,1560000.0,1,2021-08-01
ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 에즈윈,ASRock,RX 6700 XT,688760.0,1,2021-03-01
SAPPHIRE 라데온 RX 6700 XT NITRO+ OC D6 12GB Tri-X,SAPPHIRE,RX 6700 XT,720530.0,4,2021-03-01
ASRock 라데온 RX 6600 XT CHALLENGER D OC D6 8GB 에즈윈,ASRock,RX 6600 XT,523590.0,2,2021-08-01
GIGABYTE 라데온 RX 6700 XT Gaming OC D6 12GB 피씨디렉트,GIGABYTE,RX 6700 XT,935300.0,11,2021-03-01
XFX 라데온 RX 7900 XTX D6 24GB,XFX,RX 7900 XTX,1717450.0,2,2022-12-01
ASRock 라데온 RX 7900 XTX D6 24GB 에즈윈,ASRock,RX 7900 XTX,1955000.0,1,2022-12-01
ASUS TUF Gaming 라데온 RX 6700 XT O12G OC D6 12GB,ASUS,RX 6700 XT,1538800.0,1,2021-03-01
GIGABYTE 라데온 RX 6700 XT Gaming OC D6 12GB 제이씨현,GIGABYTE,RX 6700 XT,1170000.0,4,2021-03-01
GIGABYTE 라데온 RX 6600 XT Gaming OC PRO D6 8GB 피씨디렉트,GIGABYTE,RX 6600 XT,884000.0,1,2021-08-01
GIGABYTE 라데온 RX 6600 XT Gaming OC D6 8GB 제이씨현,GIGABYTE,RX 6600 XT,,0,2021-08-01
GIGABYTE 라데온 RX 6800 Gaming OC D6 16GB 제이씨현,GIGABYTE,RX 6800,1239990.0,2,2020-11-01
GIGABYTE 라데온 RX 6800 Gaming D6 16GB 제이씨현,GIGABYTE,RX 6800,945870.0,3,2021-09-01
ASRock 라데온 RX 6650 XT 스틸레전드 화이트 OC D6 8GB 에즈윈,ASRock,RX 6650 XT,359450.0,94,2023-08-01
GIGABYTE 라데온 RX 6600 XT Gaming OC PRO D6 8GB 제이씨현,GIGABYTE,RX 6600 XT,785140.0,5,2021-08-01
SAPPHIRE 라데온 RX 6800 PULSE OC D6 16GB Tri-X,SAPPHIRE,RX 6800,,0,2020-12-01
ASRock 라데온 RX 6600 XT CHALLENGER D OC D6 8GB 디앤디컴,ASRock,RX 6600 XT,823600.0,2,2021-08-01
ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 디앤디컴,ASRock,RX 6700 XT,688750.0,2,2021-04-01
GIGABYTE 라데온 RX 6600 XT Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RX 6600 XT,859000.0,1,2021-08-01
GIGABYTE AORUS 라데온 RX 6800 Master D6 16GB 피씨디렉트,GIGABYTE,RX 6800,3199800.0,1,2020-12-01
XFX 라데온 RX 6950 XT MERC 319 BLACK D6 16GB,XFX,RX 6950 XT,847450.0,61,2023-05-01
ASUS PH 라데온 RX 550 4G EVO D5 4GB 대원씨티에스,ASUS,RX 550,109500.0,178,2022-03-01
ASUS DUAL 라데온 RX 6750 XT O12G OC D6 12GB 대원씨티에스,ASUS,RX 6750 XT,473180.0,158,2022-05-01
AMD 라데온 PRO W6400 D6 4GB 대원씨티에스,AMD,W6400,264000.0,128,2022-02-01
XFX 라데온 RX 6400 SWFT 105 D6 4GB LP,XFX,RX 6400,168780.0,129,2022-04-01
PowerColor 라데온 RX 7800 XT Hellhound Spectral White D6 16GB,PowerColor,RX 7800 XT,798000.0,55,2023-11-01
SAPPHIRE 라데온 RX 6500 XT PULSE OC D6 4GB Dual-X,SAPPHIRE,RX 6500 XT,191090.0,72,2022-01-01
AMD 라데온 PRO W6800 D6 32GB 대원씨티에스,AMD,W6800,1946750.0,129,2021-06-01
AMD 라데온 PRO WX3200 D5 4GB LP 대원씨티에스,AMD,WX3200,231260.0,115,2021-03-01
GIGABYTE AORUS 라데온 RX 6900 XT Xtreme 워터블럭 D6 16GB 피씨디렉트,GIGABYTE,RX 6900 XT,815350.0,128,2021-05-01
AMD 라데온 PRO WX3100 D5 4GB LP 대원씨티에스,AMD,WX3100,221310.0,121,2017-09-01
PowerColor 라데온 RX 6500 XT Fighter D6 4GB,PowerColor,RX 6500 XT,191410.0,138,2022-01-01
XFX 라데온 RX 6750 XT QICK 319 CORE D6 12GB,XFX,RX 6750 XT,485440.0,84,2023-10-01
GIGABYTE 라데온 RX 7800 XT Gaming OC D6 16GB 제이씨현,GIGABYTE,RX 7800 XT,779000.0,4,2023-09-01
SAPPHIRE 라데온 RX 7800 XT D6 16GB,SAPPHIRE,RX 7800 XT,819660.0,6,2023-09-01
SAPPHIRE 라데온 RX 6900 XT TOXIC Air Cooled OC D6 16GB,SAPPHIRE,RX 6900 XT,1371830.0,95,2022-04-01
GIGABYTE 라데온 RX 6400 UD2 D6 4GB Nano LP 제이씨현,GIGABYTE,RX 6400,191990.0,82,2022-04-01
AMD 라데온 PRO W5700 D6 8GB,AMD,W5700,879680.0,74,2020-05-01
MSI 라데온 RX 6500 XT 메크 2X OC D6 4GB,MSI,RX 6500 XT,193540.0,63,2022-02-01
XFX 라데온 RX 6800 XT SWFT 319 CORE D6 16GB,XFX,RX 6800 XT,,0,2021-10-01
SAPPHIRE 라데온 RX 6900 XT TOXIC OC D6 16GB Extreme Edition,SAPPHIRE,RX 6900 XT,1548360.0,79,2021-05-01
GIGABYTE AORUS 라데온 RX 6900 XT Xtreme 워터블럭 D6 16GB 제이씨현,GIGABYTE,RX 6900 XT,736920.0,41,2021-05-01
XFX 라데온 RX 6500 XT QICK 210 BLACK D6 4GB,XFX,RX 6500 XT,205050.0,63,2022-01-01
ASRock Phantom Gaming D 라데온 RX 6500 XT OC D6 4GB 에즈윈,ASRock,RX 6500 XT,235200.0,64,2022-01-01
XFX 라데온 RX 6900 XT ZERO EKWB Limited Edition D6 16GB,XFX,RX 6900 XT,880950.0,31,2021-10-01
GIGABYTE 라데온 RX 7900 XT Gaming OC D6 20GB 제이씨현,GIGABYTE,RX 7900 XT,1205100.0,1,2022-12-01
XFX 라데온 RX 6900 XT MERC 319 Limited BLACK D6 16GB,XFX,RX 6900 XT,913500.0,31,2021-10-01
SAPPHIRE 라데온 RX 6950 XT NITRO+ OC D6 16GB,SAPPHIRE,RX 6950 XT,1558620.0,2,2022-05-01
AMD 라데온 PRO W6600 D6 8GB,AMD,W6600,972480.0,1,2021-08-01
XFX 라데온 RX 6750 XT MERC 319 BLACK D6 12GB,XFX,RX 6750 XT,565940.0,32,2022-05-01
MSI 라데온 RX 6400 에어로 ITX D6 4GB,MSI,RX 6400,198000.0,24,2022-04-01
ASUS TUF Gaming 라데온 RX 7900 XTX O24G OC D6 24GB 대원씨티에스,ASUS,RX 7900 XTX,,0,2022-12-01
XFX 라데온 RX 7900 XT MERC 310 BLACK D6 20GB,XFX,RX 7900 XT,1802600.0,1,2022-12-01
XFX 라데온 RX 6650 XT QICK 308 ULTRA D6 8GB,XFX,RX 6650 XT,419000.0,24,2022-05-01
ASUS TUF Gaming 라데온 RX 6900 XT O16G OC D6 16GB,ASUS,RX 6900 XT,1506510.0,4,2021-01-01
GIGABYTE 라데온 RX 7600 Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RX 7600,487770.0,1,2023-05-01
ASUS TUF Gaming 라데온 RX 6500 XT O4G OC D6 4GB 대원씨티에스,ASUS,RX 6500 XT,259890.0,11,2022-01-01
MSI 라데온 RX 6650 XT 게이밍 X D6 8GB 트윈프로져8,MSI,RX 6650 XT,659000.0,1,2022-05-01
PowerColor 라데온 RX 6650 XT Hellhound D6 8GB,PowerColor,RX 6650 XT,623000.0,4,2022-05-01
MSI 라데온 RX 6950 XT 게이밍 X 트리오 D6 16GB 트라이프로져2,MSI,RX 6950 XT,1282500.0,2,2022-05-01
MSI 라데온 RX 6750 XT 메크 2X OC D6 12GB,MSI,RX 6750 XT,,0,2022-05-01
MSI 라데온 RX 6900 XT 게이밍 X 트리오 D6 16GB 트라이프로져2,MSI,RX 6900 XT,1179370.0,1,2021-02-01
MSI 라데온 RX 6650 XT 메크 2X OC D6 8GB,MSI,RX 6650 XT,655000.0,2,2022-05-01
AMD 라데온 PRO WX3200 D5 4GB LP,AMD,WX3200,234530.0,9,2021-03-01
ASRock 라데온 RX 7900 XT D6 20GB 대원씨티에스,ASRock,RX 7900 XT,,0,2022-12-01
ASRock 라데온 RX 7900 XTX Phantom Gaming OC D6 24GB 디앤디컴,ASRock,RX 7900 XTX,,0,2023-01-01
GIGABYTE 라데온 RX 6650 XT Gaming OC D6 8GB 제이씨현,GIGABYTE,RX 6650 XT,484000.0,1,2022-05-01
XFX 라데온 RX 6750 XT QICK 319 ULTRA D6 12GB,XFX,RX 6750 XT,517890.0,9,2022-05-01
GIGABYTE 라데온 RX 6400 UD2 D6 4GB Nano LP 피씨디렉트,GIGABYTE,RX 6400,196660.0,5,2022-04-01
GIGABYTE 라데온 RX 6400 EAGLE D6 4GB 피씨디렉트,GIGABYTE,RX 6400,196660.0,5,2022-04-01
ASUS TUF Gaming 라데온 RX 6900 XT T16G D6 16GB,ASUS,RX 6900 XT,1441140.0,2,2021-12-01
PowerColor 라데온 RX 6650 XT Red Devil D6 8GB,PowerColor,RX 6650 XT,672000.0,4,2022-05-01
AMD 라데온 PRO W6400 D6 4GB,AMD,W6400,284570.0,3,2022-02-01
GIGABYTE 라데온 RX 6650 XT EAGLE D6 8GB 제이씨현,GIGABYTE,RX 6650 XT,474000.0,1,2022-05-01
XFX 라데온 RX 6900 XT MERC 319 BLACK D6 16GB,XFX,RX 6900 XT,2284700.0,3,2021-01-01
AMD 라데온 PRO WX2100 D5 2GB LP 대원씨티에스,AMD,WX2100,,0,2021-10-01
PowerColor 라데온 RX 6750 XT Red Devil D6 12GB,PowerColor,RX 6750 XT,824410.0,1,2022-05-01
ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB,ASUS,RX 6900 XT,1333330.0,2,2021-03-01
GIGABYTE 라데온 RX 6600 EAGLE D6 8GB 제이씨현,GIGABYTE,RX 6600,549000.0,1,2021-10-01
AMD 라데온 PRO W6800 D6 32GB,AMD,W6800,6000000.0,1,2021-06-01
GIGABYTE 라데온 RX 6900 XT Gaming OC D6 16GB 피씨디렉트,GIGABYTE,RX 6900 XT,2496280.0,1,2021-01-01
GIGABYTE 라데온 RX 6750 XT Gaming OC D6 12GB 피씨디렉트,GIGABYTE,RX 6750 XT,1518420.0,2,2022-05-01
SAPPHIRE 라데온 RX 6750 XT PULSE OC D6 12GB,SAPPHIRE,RX 6750 XT,722760.0,1,2022-05-01
ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원씨티에스,ASUS,RX 6900 XT,2509870.0,1,2021-06-01
GIGABYTE AORUS 라데온 RX 6900 XT Master D6 16GB 피씨디렉트,GIGABYTE,RX 6900 XT,2261700.0,1,2021-03-01
GIGABYTE 라데온 RX 6500 XT EAGLE D6 4GB 피씨디렉트,GIGABYTE,RX 6500 XT,266590.0,3,2022-01-01
GIGABYTE 라데온 RX 6900 XT Gaming OC D6 16GB 제이씨현,GIGABYTE,RX 6900 XT,4000000.0,1,2021-01-01
ASRock Phantom Gaming D 라데온 RX 6900 XT OC D6 16GB 에즈윈,ASRock,RX 6900 XT,1386630.0,5,2020-12-01
MSI 라데온 RX 6900 XT 게이밍 Z 트리오 D6 16GB 트라이프로져2,MSI,RX 6900 XT,2047810.0,1,2021-09-01
ASRock 라데온 RX 7900 XTX D6 24GB 대원씨티에스,ASRock,RX 7900 XTX,,0,2022-12-01
ASRock 라데온 RX 6650 XT CHALLENGER D OC D6 8GB 에즈윈,ASRock,RX 6650 XT,544050.0,4,2022-05-01
AMD 라데온 PRO WX3100 D5 4GB LP,AMD,WX3100,,0,2017-09-01
PowerColor 라데온 RX 6950 XT Red Devil D6 16GB,PowerColor,RX 6950 XT,1675320.0,1,2022-05-01
GIGABYTE 라데온 RX 6400 EAGLE D6 4GB 제이씨현,GIGABYTE,RX 6400,270400.0,1,2022-04-01
ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB 대원씨티에스,ASUS,RX 6900 XT,,0,2021-03-01
GIGABYTE AORUS 라데온 RX 6750 XT ELITE D6 12GB 피씨디렉트,GIGABYTE,RX 6750 XT,1434500.0,2,2022-05-01
ASRock 라데온 RX 6650 XT CHALLENGER D OC D6 8GB 디앤디컴,ASRock,RX 6650 XT,632320.0,1,2022-05-01
GIGABYTE AORUS 라데온 RX 6750 XT ELITE D6 12GB 제이씨현,GIGABYTE,RX 6750 XT,947000.0,1,2022-05-01
ASRock Phantom Gaming D 라데온 RX 6500 XT OC D6 4GB 디앤디컴,ASRock,RX 6500 XT,290910.0,1,2022-01-01
ASRock Phantom Gaming D 라데온 RX 6900 XT OC D6 16GB 디앤디컴,ASRock,RX 6900 XT,1298000.0,1,2021-01-01
AMD 라데온 PRO W5500 D6 8GB,AMD,W5500,,0,2020-05-01
TUL 라데온 RX 550 D5 2GB LP (벌크),TUL,RX 550,49900.0,3,2022-01-01
ASUS DUAL 라데온 RX 7600 O8G OC D6 8GB,ASUS,RX 7600,364100.0,156,2023-05-01
ASUS DUAL 라데온 RX 560 D5 4GB,ASUS,RX 560,120240.0,107,2023-09-01
AMD 라데온 PRO W7900 D6 48GB,AMD,W7900,7204990.0,109,2023-05-01
AMD 라데온 PRO W7700 D6 16GB,AMD,W7700,1649990.0,65,2023-11-01
AMD 라데온 PRO W7800 D6 32GB,AMD,W7800,4498990.0,110,2023-05-01
AMD 라데온 PRO W7500 D6 8GB,AMD,W7500,691890.0,83,2023-08-01
AMD 라데온 PRO W7600 D6 8GB,AMD,W7600,959190.0,96,2023-08-01
ARKTEK 라데온 RX 550 D5 4GB,ARKTEK,RX 550,95860.0,55,2023-02-01
ASUS ROG STRIX 라데온 RX 7600 O8G OC D6 8GB,ASUS,RX 7600,,0,2023-05-01
TUL 라데온 RX 6600 D6 8GB,TUL,RX 6600,289990.0,7,2021-11-01
APPLE 라데온 PRO W6900X MPX 모듈 MJ103KH/A,APPLE,W6900X,8100000.0,1,2023-06-01
GIGABYTE 라데온 RX 7900 XT D6 20GB (해외구매),GIGABYTE,RX 7900 XT,1885800.0,2,2022-12-01
APPLE 라데온 PRO W5500X MPX 모듈 MXM52KH/A,APPLE,W5500X,548730.0,1,2023-06-01
APPLE 라데온 PRO W6800X MPX 모듈 MJ073KH/A,APPLE,W6800X,3780000.0,1,2023-06-01
APPLE 라데온 PRO W6800X Duo MPX 모듈 MJ093KH/A,APPLE,W6800X Duo,6750000.0,1,2023-06-01
MSI 라데온 RX 6800 게이밍 Z 트리오 D6 16GB 트라이프로져2,MSI,RX 6800,584220.0,25,2023-12-01
