Unnamed: 0,age,ageCond,birthday,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNo,hrTool,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNo,meet,name,ord,ordBigo,owName,owNo,plcOdds,prizeCond,rank,rankRise,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNo,track,weather,wgBudam,wgBudamBigo,wgHr,wgJk,winOdds,Spd,date,ills
8458,5,연령오픈,20140329,71.0,10,58.1,11,45.3,12,32.6,12,8.9,11,0.0,0,14.8,11,14.8,0.0,14.1,27.0,39.8,25.5,23.7,8.9,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,2,1¼,넵튠,35404,망사눈,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,정도윤,080565,부경,한국,11,-,장석노,110055,11.1,R0~0,국6등급,0,0,20190118,금요일,1300,일반,4,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.5,-,413(+2),0,84.1,15.27614571092832,2019-01-18,0
8083,5,연령오픈,20140329,91.0,5,77.2,6,63.3,7,50.1,6,26.2,9,0.0,0,14.8,10,14.8,0.0,14.5,28.3,42.2,27.1,23.9,26.2,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,9,1¾,넵튠,35404,망사눈,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,5,-,장석노,110055,8.5,R0~0,국6등급,0,0,20190201,금요일,1600,일반,5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,다습 (12%),맑음,55.5,-,406(-7),0,54.4,15.165876777251185,2019-02-01,0
7670,5,연령오픈,20140329,91.4,5,77.8,8,64.5,10,51.6,10,26.5,10,0.0,0,14.7,10,14.7,0.0,14.6,28.2,41.5,26.2,25.1,26.5,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,2,1½,넵튠,35404,망사눈,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,4,-,장석노,110055,6.3,R0~0,국6등급,0,0,20190222,금요일,1600,일반,5,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,다습 (12%),흐림,55.5,-,410(+4),0,33.0,15.09433962264151,2019-02-22,0
7278,5,연령오픈,20140329,91.9,10,78.6,10,65.2,10,52.4,10,27.1,10,0.0,0,15.1,10,15.1,0.0,13.8,27.1,40.5,26.2,25.3,27.1,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,2,6,넵튠,35404,망사눈,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,6,-,장석노,110055,4.9,R0~0,국6등급,0,0,20190308,금요일,1600,일반,5,105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (4%),맑음,55.5,-,409(-1),0,34.5,15.137180700094607,2019-03-08,0
6909,5,연령오픈,20140329,92.5,10,78.6,11,65.1,11,51.9,11,27.0,11,0.0,0,15.1,11,15.1,0.0,14.6,28.5,42.0,26.7,24.9,27.0,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,6,6,넵튠,35404,망사눈,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,8,-,장석노,110055,9.3,R0~0,국6등급,0,0,20190322,금요일,1600,일반,5,107.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,다습 (12%),맑음,55.5,-,408(-1),0,51.2,14.939309056956116,2019-03-22,0
6495,5,연령오픈,20140329,72.3,11,58.7,11,45.5,9,32.7,10,8.9,9,0.0,0,14.9,10,14.9,0.0,14.8,28.4,41.6,26.0,23.8,8.9,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,8,3,넵튠,35404,망사눈,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,10,-,장석노,110055,34.4,R0~0,국6등급,0,0,20190405,금요일,1300,일반,2,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,56.0,-,415(+7),0,120.8,14.925373134328359,2019-04-05,0
6154,5,연령오픈,20140329,93.0,8,79.3,10,65.9,9,52.8,11,27.3,11,0.0,0,15.3,11,15.3,0.0,14.5,28.2,41.6,26.5,25.5,27.3,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,11,¾,넵튠,35404,망사눈,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,8,-,장석노,110055,26.1,R0~0,국6등급,0,0,20190419,금요일,1600,일반,4,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,420(+5),0,206.5,14.883720930232558,2019-04-19,0
5629,5,연령오픈,20140329,91.9,8,78.1,11,64.7,11,51.7,11,26.7,12,0.0,0,15.0,12,15.0,0.0,14.9,28.7,42.1,26.4,25.0,26.7,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,11,2½,넵튠,35404,망사눈,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김어수,80403,부경,한국,8,-,장석노,110055,10.4,R0~0,국6등급,0,0,20190510,금요일,1600,일반,5,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,423(+3),0,51.3,14.981273408239701,2019-05-10,0
5269,5,연령오픈,20140329,91.4,9,77.2,9,63.7,10,51.1,10,26.7,10,0.0,0,15.0,10,15.0,0.0,15.9,30.1,43.6,26.1,24.4,26.7,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,9,8,넵튠,35404,망사눈,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,문중원,80397,부경,한국,9,-,장석노,110055,16.6,R0~0,국6등급,0,0,20190524,금요일,1600,일반,4,107.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,423(),0,146.0,14.911463187325257,2019-05-24,0
4777,5,연령오픈,20140329,92.3,6,78.7,8,65.4,10,52.5,11,27.5,11,0.0,0,15.5,11,15.5,0.0,14.6,28.2,41.5,26.2,25.0,27.5,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,10,5,넵튠,35404,망사눈,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,프랑소와,80590,부경,한국,3,-,장석노,110055,21.5,R0~0,국6등급,0,0,20190614,금요일,1600,일반,4,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,양호 (6%),비,55.0,-,422(-1),0,89.0,14.967259120673527,2019-06-14,0
